v_ref (V),irrad (G),temp (C),current (A)
0.1,1000.0,15.0,6.09
0.1,1000.0,20.0,5.98
0.1,1000.0,25.0,5.87
0.1,1000.0,30.0,5.76
0.1,1000.0,35.0,5.65
0.1,1000.0,40.0,5.54
0.1,1000.0,45.0,5.44
0.1,1000.0,50.0,5.33
0.1,1000.0,55.0,5.22
0.1,1000.0,60.0,5.11
0.1,1000.0,65.0,5.0
0.1,1000.0,70.0,4.89
0.1,1000.0,75.0,4.78
0.1,1000.0,80.0,4.67
0.2,0.001,0.001,0.07
0.2,0.001,5.0,0.07
0.2,0.001,10.0,0.07
0.2,0.001,15.0,0.07
0.2,0.001,20.0,0.07
0.2,0.001,25.0,0.07
0.2,0.001,30.0,0.07
0.2,0.001,35.0,0.07
0.2,0.001,40.0,0.07
0.2,0.001,45.0,0.07
0.2,0.001,50.0,0.07
0.2,0.001,55.0,0.07
0.2,0.001,60.0,0.07
0.2,0.001,65.0,0.07
0.2,0.001,70.0,0.07
0.2,0.001,75.0,0.07
0.2,0.001,80.0,0.07
0.2,50.0,0.001,3.09
0.2,50.0,5.0,3.1
0.2,50.0,10.0,3.11
0.2,50.0,15.0,3.11
0.2,50.0,20.0,3.1
0.2,50.0,25.0,3.09
0.2,50.0,30.0,3.07
0.2,50.0,35.0,3.04
0.2,50.0,40.0,2.99
0.2,50.0,45.0,2.94
0.2,50.0,50.0,2.88
0.2,50.0,55.0,2.81
0.2,50.0,60.0,2.73
0.2,50.0,65.0,2.65
0.2,50.0,70.0,2.56
0.2,50.0,75.0,2.47
0.2,50.0,80.0,2.38
0.2,100.0,0.001,4.59
0.2,100.0,5.0,4.48
0.2,100.0,10.0,4.37
0.2,100.0,15.0,4.26
0.2,100.0,20.0,4.15
0.2,100.0,25.0,4.04
0.2,100.0,30.0,3.93
0.2,100.0,35.0,3.82
0.2,100.0,40.0,3.71
0.2,100.0,45.0,3.6
0.2,100.0,50.0,3.49
0.2,100.0,55.0,3.38
0.2,100.0,60.0,3.26
0.2,100.0,65.0,3.15
0.2,100.0,70.0,3.04
0.2,100.0,75.0,2.93
0.2,100.0,80.0,2.82
0.2,150.0,0.001,4.83
0.2,150.0,5.0,4.71
0.2,150.0,10.0,4.6
0.2,150.0,15.0,4.49
0.2,150.0,20.0,4.37
0.2,150.0,25.0,4.26
0.2,150.0,30.0,4.14
0.2,150.0,35.0,4.03
0.2,150.0,40.0,3.91
0.2,150.0,45.0,3.8
0.2,150.0,50.0,3.69
0.2,150.0,55.0,3.57
0.2,150.0,60.0,3.46
0.2,150.0,65.0,3.34
0.2,150.0,70.0,3.23
0.2,150.0,75.0,3.11
0.2,150.0,80.0,3.0
0.2,200.0,0.001,4.95
0.2,200.0,5.0,4.83
0.2,200.0,10.0,4.72
0.2,200.0,15.0,4.61
0.2,200.0,20.0,4.49
0.2,200.0,25.0,4.38
0.2,200.0,30.0,4.26
0.2,200.0,35.0,4.15
0.2,200.0,40.0,4.03
0.2,200.0,45.0,3.92
0.2,200.0,50.0,3.8
0.2,200.0,55.0,3.69
0.2,200.0,60.0,3.57
0.2,200.0,65.0,3.46
0.2,200.0,70.0,3.35
0.2,200.0,75.0,3.23
0.2,200.0,80.0,3.12
0.2,250.0,0.001,5.03
0.2,250.0,5.0,4.92
0.2,250.0,10.0,4.8
0.2,250.0,15.0,4.69
0.2,250.0,20.0,4.57
0.2,250.0,25.0,4.46
0.2,250.0,30.0,4.34
0.2,250.0,35.0,4.23
0.2,250.0,40.0,4.11
0.2,250.0,45.0,4.0
0.2,250.0,50.0,3.89
0.2,250.0,55.0,3.77
0.2,250.0,60.0,3.66
0.2,250.0,65.0,3.54
0.2,250.0,70.0,3.43
0.2,250.0,75.0,3.32
0.2,250.0,80.0,3.2
0.2,300.0,0.001,5.09
0.2,300.0,5.0,4.98
0.2,300.0,10.0,4.86
0.2,300.0,15.0,4.75
0.2,300.0,20.0,4.63
0.2,300.0,25.0,4.52
0.2,300.0,30.0,4.41
0.2,300.0,35.0,4.29
0.2,300.0,40.0,4.18
0.2,300.0,45.0,4.06
0.2,300.0,50.0,3.95
0.2,300.0,55.0,3.84
0.2,300.0,60.0,3.72
0.2,300.0,65.0,3.61
0.2,300.0,70.0,3.49
0.2,300.0,75.0,3.38
0.2,300.0,80.0,3.27
0.2,350.0,0.001,5.14
0.2,350.0,5.0,5.02
0.2,350.0,10.0,4.91
0.2,350.0,15.0,4.8
0.2,350.0,20.0,4.68
0.2,350.0,25.0,4.57
0.2,350.0,30.0,4.46
0.2,350.0,35.0,4.34
0.2,350.0,40.0,4.23
0.2,350.0,45.0,4.12
0.2,350.0,50.0,4.0
0.2,350.0,55.0,3.89
0.2,350.0,60.0,3.78
0.2,350.0,65.0,3.66
0.2,350.0,70.0,3.55
0.2,350.0,75.0,3.44
0.2,350.0,80.0,3.32
0.2,400.0,0.001,5.18
0.2,400.0,5.0,5.07
0.2,400.0,10.0,4.95
0.2,400.0,15.0,4.84
0.2,400.0,20.0,4.73
0.2,400.0,25.0,4.61
0.2,400.0,30.0,4.5
0.2,400.0,35.0,4.39
0.2,400.0,40.0,4.27
0.2,400.0,45.0,4.16
0.2,400.0,50.0,4.05
0.2,400.0,55.0,3.93
0.2,400.0,60.0,3.82
0.2,400.0,65.0,3.71
0.2,400.0,70.0,3.59
